Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-04-11,,87.12,86.33,86.84,,1797529.0,155922378.0,,,
2018-04-12,,87.81,86.4,87.74,,2086605.0,182216903.0,,,
2018-04-13,,88.41,87.46,87.97,,1960084.0,172384932.0,,,
2018-04-16,,88.26,87.13,87.2,,1509727.0,132083475.0,,,
2018-04-17,,88.87,86.97,88.46,,2543745.0,224465084.0,,,
2018-04-18,,89.11,87.87,88.54,,2101965.0,186125227.0,,,
2018-04-19,,88.66,87.39,87.71,,2124598.0,186983937.0,,,
2018-04-20,,87.67,86.36,86.52,,5270412.0,457335855.0,,,
2018-04-23,,87.2,85.83,87.15,,2054614.0,178434955.0,,,
2018-04-24,,90.92,89.2,90.21,,6003527.0,541556535.0,,,
2018-04-25,,90.61,88.34,89.14,,3351233.0,299353346.0,,,
2018-04-26,,90.48,88.95,90.33,,2787701.0,250815024.0,,,
2018-04-27,,92.28,90.04,92.02,,3808489.0,349243679.0,,,
2018-04-30,,92.45,91.29,92.42,,2616577.0,241227244.0,,,
2018-05-02,,94.19,92.53,93.85,,3471269.0,325177607.0,,,
2018-05-03,,94.39,93.33,93.95,,2407417.0,225976336.0,,,
2018-05-04,,95.44,94.08,95.44,,2610513.0,247889810.0,,,
2018-05-07,,96.28,94.89,96.0,,1898674.0,181945351.0,,,
2018-05-08,,96.67,95.65,96.51,,1987752.0,191348403.0,,,
2018-05-09,,97.0,96.03,96.74,,2450649.0,236833343.0,,,
2018-05-10,,97.61,96.4,97.54,,1863553.0,181169234.0,,,
2018-05-11,,97.9,96.64,97.42,,2464833.0,239687623.0,,,
2018-05-14,,97.42,96.47,96.85,,1863791.0,180555429.0,,,
2018-05-15,,96.44,95.04,95.5,,3044566.0,291391464.0,,,
2018-05-16,,96.5,95.45,96.17,,2270457.0,218150383.0,,,
2018-05-17,,97.17,95.72,96.95,,2679716.0,259113585.0,,,
2018-05-18,,96.12,95.21,95.85,,3735841.0,357628294.0,,,
2018-05-22,,96.56,95.4,96.11,,2341480.0,224943609.0,,,
2018-05-23,,96.42,95.25,96.42,,2947963.0,283023897.0,,,
2018-05-24,,97.55,96.31,96.84,,3043284.0,295077920.0,,,
2018-05-25,,97.92,97.03,97.83,,2793208.0,272693813.0,,,
2018-05-28,,98.28,96.34,96.64,,1968790.0,191107735.0,,,
2018-05-29,,96.12,94.76,95.33,,3773526.0,359954774.0,,,
2018-05-30,,96.41,95.3,96.18,,2573071.0,246836760.0,,,
2018-05-31,,96.94,95.8,96.34,,3386416.0,326268147.0,,,
2018-06-01,,98.03,96.72,97.33,,2879694.0,280447021.0,,,
2018-06-04,,98.04,96.67,97.79,,1541129.0,150368438.0,,,
2018-06-05,,99.84,97.45,99.0,,3108099.0,307941738.0,,,
2018-06-06,,99.96,98.27,99.07,,3148530.0,312026017.0,,,
2018-06-07,,99.99,98.99,99.62,,2546633.0,253703517.0,,,
2018-06-08,,100.5,98.53,100.44,,2728772.0,272647483.0,,,
2018-06-11,,101.94,100.5,101.78,,2792398.0,283522019.0,,,
2018-06-12,,102.62,101.76,101.98,,2389139.0,243988686.0,,,
2018-06-13,,103.52,102.04,102.82,,2592730.0,266681282.0,,,
2018-06-14,,104.54,101.56,104.3,,4218256.0,435775024.0,,,
2018-06-15,,105.28,103.74,103.78,,9203429.0,958754541.0,,,
2018-06-18,,103.36,101.86,102.5,,2133921.0,218785614.0,,,
2018-06-19,,101.88,99.94,101.74,,3237111.0,327379949.0,,,
2018-06-20,,103.06,101.78,102.72,,2558591.0,262350906.0,,,
2018-06-21,,103.28,101.26,101.42,,2341860.0,238688300.0,,,
2018-06-22,,101.5,99.87,100.9,,2218270.0,223623294.0,,,
2018-06-25,,100.78,98.6,98.6,,2967070.0,294604652.0,,,
2018-06-26,,99.42,98.39,98.59,,2452073.0,242320721.0,,,
2018-06-27,,100.5,97.75,99.95,,2516617.0,250102729.0,,,
2018-06-28,,100.06,96.77,97.28,,3492285.0,341219717.0,,,
2018-06-29,,99.23,97.93,98.95,,2975506.0,294089438.0,,,
2018-07-02,,98.88,97.45,98.3,,2079677.0,204443069.0,,,
2018-07-03,,99.92,98.83,99.06,,1869784.0,185458745.0,,,
2018-07-04,,98.8,97.54,97.81,,1490026.0,146066795.0,,,
2018-07-05,,99.26,97.74,99.17,,2242900.0,221706413.0,,,
2018-07-06,,99.98,98.72,99.45,,2184204.0,216695755.0,,,
2018-07-09,,101.5,99.69,101.38,,2140416.0,216198978.0,,,
2018-07-10,,102.26,100.82,102.18,,1898444.0,193189140.0,,,
2018-07-11,,101.44,100.04,100.48,,2231014.0,224360038.0,,,
2018-07-12,,101.92,100.58,101.88,,1746937.0,177281571.0,,,
2018-07-13,,103.38,101.84,102.78,,2000564.0,205391274.0,,,
2018-07-16,,103.3,102.04,102.64,,1273286.0,130668868.0,,,
2018-07-17,,103.88,101.66,103.8,,1943590.0,200473962.0,,,
2018-07-18,,105.08,104.04,104.68,,2078557.0,217449980.0,,,
2018-07-19,,104.26,100.8,100.98,,3850730.0,392939935.0,,,
2018-07-20,,102.4,99.57,99.99,,4663920.0,469499492.0,,,
2018-07-23,,100.1,99.43,99.64,,1873272.0,186893480.0,,,
2018-07-24,,101.86,99.66,100.9,,2233043.0,225440629.0,,,
2018-07-25,,101.32,100.34,101.0,,1845506.0,186271117.0,,,
