,Полное имя пользователя,Просмотры,Активные действия,views_bin,active_bin,views_sq,views_log
170,428b9696d79634f78c7d3cebb6b08e52,3,0,"(0.0, 100.0]",,9,1.3862943611198906
171,43bde25ddb08ce5efadc8e2b25aa5305,24,1,"(0.0, 100.0]",,576,3.2188758248682006
172,43c6097d59ee1c25c516c1db4b320995,104,5,"(100.0, 150.0]",,10816,4.653960350157523
173,43dd524bd169e466129f606fe1305601,23,1,"(0.0, 100.0]",,529,3.1780538303479458
175,441499bb615bbb76b8184e019bcf6f2d,112,10,"(100.0, 150.0]",,12544,4.727387818712341
176,44418fc0dca60119ee9f6541e30e87a0,41,2,"(0.0, 100.0]",,1681,3.7376696182833684
177,44cdb53535d6cd2128f398d54a36dceb,24,1,"(0.0, 100.0]",,576,3.2188758248682006
178,4535c89f312eecf8a1aa9b91d17f76f0,9,1,"(0.0, 100.0]",,81,2.302585092994046
179,454cf60d4a90f7c980a03ddd73ff090b,109,10,"(100.0, 150.0]",,11881,4.700480365792417
181,464711e763c5261687c16283b454ed20,83,7,"(0.0, 100.0]",,6889,4.430816798843313
182,46dd7811bd4eb9b7ad1256fdb0999ebf,4,0,"(0.0, 100.0]",,16,1.6094379124341003
184,479e231e1304da736e3ee1c234ce21cf,179,0,"(150.0, 200.0]",,32041,5.19295685089021
185,47def5c9de5ec94b79cf5bf945aa5767,12,2,"(0.0, 100.0]",,144,2.5649493574615367
186,47e4ff972e88257d9de70696fdada9a9,1,0,"(0.0, 100.0]",,1,0.6931471805599453
187,48290a4a8e32d460014c4e81c1608fe1,210,15,"(200.0, inf]","(10.0, 20.0]",44100,5.351858133476067
188,487d79c251cb071a77a9a2737b27af83,43,1,"(0.0, 100.0]",,1849,3.784189633918261
189,48fb72065c3a185d5ad33f8de27acc42,6,1,"(0.0, 100.0]",,36,1.9459101490553132
190,490d4dd752dab646e62192d6061f3529,22,1,"(0.0, 100.0]",,484,3.1354942159291497
192,4a1975a04c124705b9b676bdcfedbb05,67,5,"(0.0, 100.0]",,4489,4.219507705176107
193,4a37824ebdc50f5cb7ec1403a78ab00f,109,7,"(100.0, 150.0]",,11881,4.700480365792417
194,4a50f5356bb0b76524888bcee8095854,9,1,"(0.0, 100.0]",,81,2.302585092994046
195,4a8a4f235aa4fbc0492d87e9eafd8268,18,1,"(0.0, 100.0]",,324,2.9444389791664403
196,4ae2e3c348a9cf27034a99eacffe7773,12,0,"(0.0, 100.0]",,144,2.5649493574615367
197,4b495a4551f9189c48caac1e6c0d5f59,36,3,"(0.0, 100.0]",,1296,3.6109179126442243
198,4baf1bf980beaffcf6c4d307a38228ed,6,1,"(0.0, 100.0]",,36,1.9459101490553132
199,4bde2bd261ae4edf08829d4b9e378572,27,2,"(0.0, 100.0]",,729,3.332204510175204
200,4d56e6b790da28f211b4f400a14976e2,98,6,"(0.0, 100.0]",,9604,4.59511985013459
201,4e175228726a1979546ab71937cb2e22,178,8,"(150.0, 200.0]",,31684,5.187385805840755
202,4e91e054e1537b86d52ce2552ca01d0b,56,0,"(0.0, 100.0]",,3136,4.04305126783455
203,4ebe2e3d21eb3a7f5440c1da89925b06,1,0,"(0.0, 100.0]",,1,0.6931471805599453
204,4f2b796c9b1085025cc1f43a6ebd54ba,75,1,"(0.0, 100.0]",,5625,4.330733340286331
207,50ae9da10dc58bb26ea0c95a881565b0,11,1,"(0.0, 100.0]",,121,2.4849066497880004
208,50bfca0142b3e7bb4797ac8f7c51fdd7,25,1,"(0.0, 100.0]",,625,3.258096538021482
209,50c28ddebacab5dcd958abfcdc73059f,27,1,"(0.0, 100.0]",,729,3.332204510175204
210,50e2d9c6024c53ab51ad08a40171ab3e,6,1,"(0.0, 100.0]",,36,1.9459101490553132
211,51af3c4806900e2441861a4f3070af47,61,8,"(0.0, 100.0]",,3721,4.127134385045092
212,5329bdf3acf5888c0d2e46b968e3b61b,26,2,"(0.0, 100.0]",,676,3.295836866004329
214,539ce4d17b9fe7c157d3229dda0ed557,6,1,"(0.0, 100.0]",,36,1.9459101490553132
215,53bc9e17eb23deb9e2f2b8526b39d501,12,1,"(0.0, 100.0]",,144,2.5649493574615367
217,541c3b2b97329f219de3b314eb8d1d15,69,9,"(0.0, 100.0]",,4761,4.248495242049359
218,545035e4e17235751454e1c617d1d611,11,1,"(0.0, 100.0]",,121,2.4849066497880004
219,54aa37c74250de1a9a1d9125b52229d2,19,1,"(0.0, 100.0]",,361,2.995732273553991
220,57761b89e8af97a9f78209c101228a51,6,0,"(0.0, 100.0]",,36,1.9459101490553132
221,58771267236b6ddc866e1994645ebc03,6,1,"(0.0, 100.0]",,36,1.9459101490553132
222,59211708aad3673d6dc4568375339dd3,14,1,"(0.0, 100.0]",,196,2.70805020110221
223,592f033d2620df3013a605dc25f8de94,11,1,"(0.0, 100.0]",,121,2.4849066497880004
224,5a907db4b5b0ed457c716193d01fba0c,2,0,"(0.0, 100.0]",,4,1.0986122886681098
225,5b84275e6e94a62d1d62abe7bebe14ee,82,3,"(0.0, 100.0]",,6724,4.418840607796598
226,5ba6e7d4cf1c854d71eefb98e05f03fd,31,1,"(0.0, 100.0]",,961,3.4657359027997265
227,5cab69a19dc377f9129025e625c2842e,239,18,"(200.0, inf]","(10.0, 20.0]",57121,5.480638923341991
228,5d01b7b93f63c2e500da3bd7ab892983,42,2,"(0.0, 100.0]",,1764,3.7612001156935624
229,5d4bd472a85d1abaca0b6e233b9fa1fc,50,0,"(0.0, 100.0]",,2500,3.9318256327243257
230,5d87eabcf28cf92d90ba56b9d0cd5725,41,1,"(0.0, 100.0]",,1681,3.7376696182833684
231,5e79e62ee5b48695340b0a3e3acb87b8,10,1,"(0.0, 100.0]",,100,2.3978952727983707
233,5f0cd7e40f51b9e9abd32a8aee8ef464,35,2,"(0.0, 100.0]",,1225,3.58351893845611
235,5f4df3ae5dc8ede14101e81043529810,3,0,"(0.0, 100.0]",,9,1.3862943611198906
236,5fe05571b6ba692ec4570574fed2dad5,22,2,"(0.0, 100.0]",,484,3.1354942159291497
237,5fe6aeda826075e6bc98d0f587f5b9c5,49,5,"(0.0, 100.0]",,2401,3.912023005428146
238,6122269adcf403454ec002e0760b352a,33,1,"(0.0, 100.0]",,1089,3.5263605246161616
240,619bd41f28fcef53fdff54d65c7e71b7,6,0,"(0.0, 100.0]",,36,1.9459101490553132
242,6216d4cfec5e0d30b3ce449de762821e,73,4,"(0.0, 100.0]",,5329,4.30406509320417
243,62384e159850d3170c3a721c6a3051b6,18,1,"(0.0, 100.0]",,324,2.9444389791664403
244,6306012b325e870d55263e7025f2f118,18,1,"(0.0, 100.0]",,324,2.9444389791664403
245,63431ec225b3284700b96e8cd1c6aee3,9,1,"(0.0, 100.0]",,81,2.302585092994046
246,63b0e40b1e181825761f7a243e2a2121,23,1,"(0.0, 100.0]",,529,3.1780538303479458
247,642b5eab0562f345a8b61d2283faa2cb,12,1,"(0.0, 100.0]",,144,2.5649493574615367
248,64af95ebadb79ef89b60021497c978e2,16,3,"(0.0, 100.0]",,256,2.833213344056216
249,65b60ebf4b598094e87e8d8077e18fb6,44,1,"(0.0, 100.0]",,1936,3.8066624897703196
250,6659ea2a57ca6568ddc0bb8ac5fcb288,33,2,"(0.0, 100.0]",,1089,3.5263605246161616
251,66b0f80afceb7f75b4c5e4bb084cff3c,30,1,"(0.0, 100.0]",,900,3.4339872044851463
253,672ef67ae0dab61b109ec98d0e4ab677,143,4,"(100.0, 150.0]",,20449,4.969813299576001
255,6842bd93ac50511ad697d8bb187223f2,19,1,"(0.0, 100.0]",,361,2.995732273553991
256,68be24f1e393bea0d03745eab295377e,9,0,"(0.0, 100.0]",,81,2.302585092994046
257,68ebfc442c50b50a6d77841b9a54dacf,62,1,"(0.0, 100.0]",,3844,4.143134726391533
258,68f8d1afc9d548f0682dafc9327788c8,75,11,"(0.0, 100.0]","(10.0, 20.0]",5625,4.330733340286331
259,6aa563edcfda34da7b83ed2999f6e88a,16,1,"(0.0, 100.0]",,256,2.833213344056216
261,6b057bcddbf14416b711a559edbc9d91,53,5,"(0.0, 100.0]",,2809,3.9889840465642745
262,6b49d353e43b36b030d16c6a981dcec3,118,1,"(100.0, 150.0]",,13924,4.77912349311153
263,6b8e424748e4f6c8845cdadd40440fae,8,1,"(0.0, 100.0]",,64,2.1972245773362196
264,6c142fdddad5ad9b4230b4185aa791ae,2,0,"(0.0, 100.0]",,4,1.0986122886681098
265,6d18f1eb47db00cf2d7dbd496c405807,18,1,"(0.0, 100.0]",,324,2.9444389791664403
267,6d9c6ae1dd8ffe3bc3495437caac4298,41,2,"(0.0, 100.0]",,1681,3.7376696182833684
269,6e265a4ed0232e73e50c0b5a45c3f565,18,1,"(0.0, 100.0]",,324,2.9444389791664403
270,6eb891c6698b38d0da82082b5be535c5,100,21,"(0.0, 100.0]","(20.0, inf]",10000,4.61512051684126
272,6fcac1d8ec4357def3c19e0ae13acbb9,102,12,"(100.0, 150.0]","(10.0, 20.0]",10404,4.634728988229636
273,6fdbced2eef7913dfb9576981c56baba,22,0,"(0.0, 100.0]",,484,3.1354942159291497
274,714341b30b121a2e041329f789d350c3,93,1,"(0.0, 100.0]",,8649,4.543294782270004
275,714ad5c36b95eff50e5066debe0f4daa,14,1,"(0.0, 100.0]",,196,2.70805020110221
276,71630526f7d8aa962ddead38bd3fc2f4,2,0,"(0.0, 100.0]",,4,1.0986122886681098
277,717d6f8684cd47b5da77d462771ac574,14,1,"(0.0, 100.0]",,196,2.70805020110221
278,723da1798d02be192c9217409bc1064d,155,9,"(150.0, 200.0]",,24025,5.049856007249537
279,72b983c6ed47e02411f843aae34800c7,51,1,"(0.0, 100.0]",,2601,3.9512437185814275
280,72f359516557b656eabbb1caa313e8e1,17,1,"(0.0, 100.0]",,289,2.8903717578961645
281,740566c60519f01ced14f095f7762f88,81,2,"(0.0, 100.0]",,6561,4.406719247264253
